epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
98,11577,1.06559,0.8573,1.27265,0.62027,0.63706,0.59029,0.41279,1.01298,0.6239,1.28639,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906
99,11693.7,1.06364,0.85297,1.26645,0.60759,0.64149,0.59008,0.41346,1.01161,0.62297,1.2852,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668
100,11812.2,1.06295,0.85273,1.26582,0.60575,0.64127,0.59048,0.41358,1.01073,0.62167,1.2846,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
101,11932.1,1.05467,0.84076,1.25803,0.60591,0.64266,0.59078,0.41421,1.00966,0.62094,1.28369,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
102,12045.5,1.05007,0.83859,1.25451,0.61181,0.64424,0.59189,0.41457,1.00863,0.62021,1.28263,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577
103,12162.4,1.05027,0.83975,1.25713,0.6152,0.64339,0.5922,0.41423,1.00774,0.61928,1.28186,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
104,12279.5,1.04532,0.83233,1.25008,0.60383,0.65455,0.59178,0.41443,1.00663,0.61831,1.28073,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071
105,12395,1.03782,0.82202,1.24684,0.60868,0.65062,0.59257,0.41483,1.00614,0.61713,1.28021,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497
106,12512.3,1.04697,0.83237,1.25514,0.59815,0.65754,0.59275,0.41471,1.00565,0.61595,1.27995,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
107,12629.4,1.0407,0.82896,1.24984,0.60192,0.65885,0.59259,0.41481,1.0048,0.61451,1.27928,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723
108,12746.7,1.03146,0.81651,1.24123,0.60234,0.65725,0.59275,0.41531,1.00395,0.61356,1.2785,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532
109,12865.9,1.03061,0.81811,1.24602,0.60124,0.66087,0.59242,0.41521,1.00326,0.61278,1.27794,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
110,12985.2,1.02768,0.81138,1.24078,0.60224,0.66007,0.59275,0.41547,1.0027,0.61187,1.27746,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557
111,13102.8,1.02985,0.81759,1.24449,0.60295,0.65981,0.59177,0.4152,1.00191,0.61125,1.2767,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
112,13221.6,1.02075,0.81411,1.2421,0.60394,0.65972,0.59211,0.41565,1.00088,0.6107,1.27575,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
113,13338.2,1.01878,0.80673,1.23909,0.60425,0.66005,0.5924,0.41551,1.00013,0.60987,1.27508,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667
114,13453.9,1.01911,0.80613,1.24051,0.60549,0.65903,0.59261,0.4156,0.9992,0.60942,1.27431,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336
115,13571.4,1.01951,0.80639,1.23464,0.60435,0.65848,0.59279,0.41578,0.99852,0.6088,1.2736,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
116,13689.6,1.01461,0.80308,1.23868,0.60659,0.65932,0.59285,0.41589,0.99715,0.60788,1.27225,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
117,13805.2,1.00226,0.79365,1.23031,0.60589,0.6587,0.59352,0.41635,0.99645,0.60702,1.27175,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287
118,13921.8,1.01527,0.79949,1.23165,0.60747,0.65901,0.59324,0.41586,0.99545,0.60653,1.27093,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
119,14037.4,1.00413,0.78986,1.22524,0.60646,0.661,0.59294,0.4159,0.99482,0.60596,1.27039,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072
120,14152.9,1.00132,0.78561,1.22341,0.60721,0.66073,0.59315,0.41598,0.99399,0.60526,1.26975,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718
121,14269.1,0.99917,0.79258,1.2289,0.60778,0.66021,0.59322,0.41612,0.9934,0.60478,1.26917,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
122,14385.6,1.00254,0.79078,1.22787,0.60776,0.6601,0.59322,0.4163,0.9927,0.60404,1.26865,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311
123,14501.3,0.99544,0.77836,1.22068,0.60917,0.66193,0.59326,0.4164,0.992,0.60338,1.26815,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704
124,14617,1.00321,0.78097,1.22687,0.60921,0.66028,0.59323,0.41646,0.99101,0.60269,1.26745,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
125,14731.6,0.99257,0.77241,1.2184,0.60916,0.66078,0.5926,0.41629,0.98988,0.60227,1.26658,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947
